[2025-07-10 14:11:09] [INFO    ] discord.client: logging in using static token
[2025-07-10 14:11:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-10 14:11:10] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-10 14:11:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1384090465116094554', 'username': 'NineAsh', 'avatar': 'c915b35e759ebadb6029a357bdabe493', 'discriminator': '6095', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '2583d852eebf99407b5dc483fde171eb', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-10 14:11:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-10 14:11:10] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-10 14:11:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1384090465116094554', 'name': 'NineAsh', 'icon': 'c915b35e759ebadb6029a357bdabe493', 'description': '', 'type': None, 'bot': {'id': '1384090465116094554', 'username': 'NineAsh', 'avatar': 'c915b35e759ebadb6029a357bdabe493', 'discriminator': '6095', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '2583d852eebf99407b5dc483fde171eb', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '8808fa50e780fffd85136a70789dbf8ffaa65831bfcb2b355391d5765f591e72', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '775417702927564841', 'username': 's.sneon', 'avatar': '9bae61e473264068dac2f8d57c4cf1b1', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 11188195, 'global_name': 'Neon', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': '#aab7e3', 'clan': {'identity_guild_id': '1110487346194948198', 'identity_enabled': True, 'tag': 'भारत', 'badge': '5bd5e8bbfabd43ec8e90d368cd5ce3bb'}, 'primary_guild': {'identity_guild_id': '1110487346194948198', 'identity_enabled': True, 'tag': 'भारत', 'badge': '5bd5e8bbfabd43ec8e90d368cd5ce3bb'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 1, 'approximate_user_authorization_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-10 14:11:10] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-10 14:11:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-k52h",{"micros":0.0}]']}}
[2025-07-10 14:11:10] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-10 14:11:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
